@relation 'bmtest-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1'

@attribute bm.price numeric
@attribute bm.event1 {LUNCH,DAILY,DINNER,BREAKFAST}
@attribute bm.physical_description1 {CARD,FOLDER,BROADSHEET,OTHER,BOOKLET}
@attribute bm.states {NY,CO,HI,NE,IN,IL,MA,MO,ND,OH,AR,CA,NJ,LA}
@attribute bm.Dish_name {'Mashed potatoes','Boiled potatoes'}

@data
0.1,LUNCH,CARD,NY,'Mashed potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.1,DAILY,FOLDER,NY,'Boiled potatoes'
0.05,DAILY,CARD,CO,'Mashed potatoes'
0.15,DAILY,FOLDER,NY,'Mashed potatoes'
0.15,LUNCH,CARD,HI,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Mashed potatoes'
0.1,LUNCH,FOLDER,NE,'Mashed potatoes'
0.25,DAILY,FOLDER,NY,'Mashed potatoes'
0.2,DINNER,BROADSHEET,NY,'Mashed potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.1,DAILY,FOLDER,IN,'Mashed potatoes'
0.1,LUNCH,CARD,NY,'Boiled potatoes'
0.1,DINNER,CARD,NY,'Mashed potatoes'
0.1,DAILY,FOLDER,NY,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Mashed potatoes'
0.05,LUNCH,CARD,NY,'Mashed potatoes'
0.15,DAILY,BROADSHEET,NY,'Mashed potatoes'
0.05,DAILY,FOLDER,NY,'Mashed potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.2,LUNCH,BROADSHEET,NY,'Mashed potatoes'
0.15,DAILY,FOLDER,NY,'Mashed potatoes'
0.05,DAILY,FOLDER,NY,'Boiled potatoes'
0.15,DAILY,FOLDER,NY,'Mashed potatoes'
0.15,DINNER,FOLDER,NY,'Boiled potatoes'
0.1,DAILY,FOLDER,NY,'Boiled potatoes'
0.15,DAILY,CARD,NY,'Mashed potatoes'
0.2,DINNER,BROADSHEET,NY,'Boiled potatoes'
0.15,LUNCH,CARD,IL,'Boiled potatoes'
0.15,LUNCH,BROADSHEET,NY,'Mashed potatoes'
0.15,DAILY,CARD,IL,'Boiled potatoes'
0.1,DINNER,FOLDER,MA,'Boiled potatoes'
0.2,DINNER,BROADSHEET,NY,'Mashed potatoes'
0.2,LUNCH,BROADSHEET,NY,'Mashed potatoes'
0.1,DAILY,FOLDER,NY,'Mashed potatoes'
0.2,LUNCH,BROADSHEET,NY,'Mashed potatoes'
0.1,BREAKFAST,FOLDER,NY,'Mashed potatoes'
0.2,LUNCH,BROADSHEET,NY,'Mashed potatoes'
