"","bm.Dish_name","bm.price","bm.event1","bm.physical_description1","bm.states"
"9965","Mashed potatoes",0.1,"LUNCH","CARD","NY"
"3500","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"4222","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"6583","Mashed potatoes",0.05,"DAILY","CARD","CO"
"9974","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
"1816","Boiled potatoes",0.15,"LUNCH","CARD","HI"
"9913","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"10100","Mashed potatoes",0.1,"LUNCH","FOLDER","NE"
"7022","Mashed potatoes",0.25,"DAILY","FOLDER","NY"
"6875","Mashed potatoes",0.2,"DINNER","BROADSHEET","NY"
"992","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"10641","Mashed potatoes",0.1,"DAILY","FOLDER","IN"
"1716","Boiled potatoes",0.1,"LUNCH","CARD","NY"
"7128","Mashed potatoes",0.1,"DINNER","CARD","NY"
"4232","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"9076","Mashed potatoes",0.2,"LUNCH","CARD","NY"
"6060","Mashed potatoes",0.05,"LUNCH","CARD","NY"
"7298","Mashed potatoes",0.15,"DAILY","BROADSHEET","NY"
"10262","Mashed potatoes",0.05,"DAILY","FOLDER","NY"
"4211","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"9074","Mashed potatoes",0.2,"LUNCH","BROADSHEET","NY"
"9931","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
"1822","Boiled potatoes",0.05,"DAILY","FOLDER","NY"
"6891","Mashed potatoes",0.15,"DAILY","FOLDER","NY"
"1506","Boiled potatoes",0.15,"DINNER","FOLDER","NY"
"3463","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"10276","Mashed potatoes",0.15,"DAILY","CARD","NY"
"762","Boiled potatoes",0.2,"DINNER","BROADSHEET","NY"
"4187","Boiled potatoes",0.15,"LUNCH","CARD","IL"
"9523","Mashed potatoes",0.15,"LUNCH","BROADSHEET","NY"
"4008","Boiled potatoes",0.15,"DAILY","CARD","IL"
"4683","Boiled potatoes",0.1,"DINNER","FOLDER","MA"
