"","bm.Dish_name","bm.price","bm.event1","bm.physical_description1","bm.states"
"57","Boiled potatoes",0.15,"DINNER","OTHER","CA"
"411","Boiled potatoes",0.15,"DINNER","OTHER","CA"
"735","Boiled potatoes",0.15,"DINNER","FOLDER","NY"
"746","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"751","Boiled potatoes",0.1,"DAILY","CARD","NY"
"763","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"819","Boiled potatoes",0.15,"LUNCH","CARD","AR"
"821","Boiled potatoes",0.1,"DAILY","CARD","NY"
"853","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"854","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"867","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"874","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"878","Boiled potatoes",0.2,"LUNCH","CARD","ND"
"880","Boiled potatoes",0.05,"LUNCH","CARD","NY"
"881","Boiled potatoes",0.1,"DINNER","FOLDER","AL"
"899","Boiled potatoes",0.1,"LUNCH","CARD","AL"
"904","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"910","Boiled potatoes",0.1,"LUNCH","BROADSHEET","NY"
"914","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"946","Boiled potatoes",10,"LUNCH","CARD","AR"
"949","Boiled potatoes",0.2,"LUNCH","BROADSHEET","NY"
"950","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"965","Boiled potatoes",0.15,"LUNCH","CARD","NY"
"991","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"1073","Boiled potatoes",0.1,"LUNCH","CARD","AR"
"1095","Boiled potatoes",0.15,"LUNCH","CARD","AR"
"1121","Boiled potatoes",0.1,"LUNCH","BROADSHEET","NY"
"1123","Boiled potatoes",0.1,"LUNCH","BROADSHEET","NY"
"1126","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"1266","Boiled potatoes",0.1,"LUNCH","CARD","NY"
"1309","Boiled potatoes",0.2,"LUNCH","CARD","NY"
"1365","Boiled potatoes",0.1,"DAILY","FOLDER","NY"
"1376","Boiled potatoes",0.15,"LUNCH","BROADSHEET","NY"
"1385","Boiled potatoes",0.1,"DAILY","BROADSHEET","NY"
"1396","Boiled potatoes",0.1,"DINNER","FOLDER","IA"
"1409","Boiled potatoes",0.2,"DINNER","BROADSHEET","NY"
"1412","Boiled potatoes",0.15,"DAILY","CARD","IL"
