Dish_id,Dish_name,menu_page_id,price,Menu_id,Menupage_id,event,place,physical_description,notes,date
374956,"Boiled Potatoes",10156,"",15787,10156,"","","","",1900-07-04
374956,"Boiled Potatoes",10183,"",15799,10183,"","","","",1900-07-06
374956,"Boiled Potatoes",1067,"",12758,1067,DINNER,"PANAMA LINE,CITY OF PARA",FOLDER;5.5X8.5;,"",1900-04-23
374956,"Boiled Potatoes",1193,"",12805,1193,"TABLE D'HOTE DINNER","[NEW YORK, NY]","CARD; 5.5X7.0;","INITIALS ""ULC"" IN PALE BLUE;",1900-04-07
374956,"Boiled Potatoes",14003,"",17143,14003,DINNER,"EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA","FOLDER; 6 X 9;","MENU TYPED IN ENGLISH BUT VARIOUS COURSES LISTED IN ENGLISH AND SPANISH; ORNAMENTAL BORDER;",1900-04-21
374956,"Boiled Potatoes",1703,"",13007,1703,DINNER,"[SS CITY OF RIO DE JANEIRO?]","FOLDER; 5.5X8.5;","",1900-05-03
374956,"Boiled Potatoes",17123,"",18212,17123,"","","","",1900-07-04
374956,"Boiled Potatoes",20287,"",19227,20287,"","","","",1901-06-04
374956,"Boiled Potatoes",21734,"",19839,21734,DINNER,"SS CITY OF PARA",FOLDER;6X9;,"TYPEWRITTEN ON FORM;2 COPIES;",1900-04-29
374956,"Boiled Potatoes",21738,"",19840,21738,DINNER,"SS CITY OF PARA",FOLDER;6X9;,"TYPEWRITTEN ON FORM;2 COPIES;",1900-04-30
374956,"Boiled Potatoes",21922,"",19922,21922,DINNER,"EN ROUTE","BROADSIDE; EMBLEM; 5.5 X 7;","SECOND CABIN MENU;",1901-05-29
374956,"Boiled Potatoes",22075,"",19982,22075,BREAKFAST,"EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA","BROADSIDE; 6 X 9;","ORNAMENTAL BORDER;",1900-04-22
374956,"Boiled Potatoes",22143,"",20014,22143,[DINNER],"SS RIO DE JANEIRO","FOLDER; ILLUS; 5.75X8.75;","ILLUS, STEAMSHIP IN RED WITHIN DECORATIVE BORDER; TWO COPIES;",1900-06-12
374956,"Boiled Potatoes",22683,"",20256,22683,BREAKFAST,"SS FURST BISMARCK",FOLDER;4.25X6.25,"MENU IN GERMAN AND ENGLISH",1901-06-27
374956,"Boiled Potatoes",22747,"",20284,22747,LUNCH,"SS COPTIC",BROADSIDE;ILL;5.5X8.5;,"FLAG;HANDWRITTEN ON PRINTED FORM;MECHANICALLY REPRODUCED;2 COPIES;COPY 1 HAS SOME MISSPELLINGS;",1900-03-17
374956,"Boiled Potatoes",23037,"",20410,23037,BREAKFAST,"EN ROUTE ABOARD CITY OF PARA","BROADSIDE; 5.5 X 8.5;","ORNAMENTAL BORDER;",1900-05-08
374956,"Boiled Potatoes",23039,"",20411,23039,DINNER,"EN ROUTE ABOARD CITY OF PARA","FOLDER; 6 X 9.25;","DISHES IN ENGLISH, COURSE NAMES IN ENGLISH AND SPANISH; ORNAMENTAL BORDER;",1900-05-08
374956,"Boiled Potatoes",23057,"",20418,23057,DINNER,"SS CITY OF RIO DE JANEIRO",FOLDER;5.5X8.75;,"HANDWRITTEN ON PRINTED FORM;MECHANICALLY REPRODUCED;2 COPIES;",1900-05-12
374956,"Boiled Potatoes",23391,"",20563,23391,BREAKFAST,"SS CITY OF PARA","BROADSIDE; 5.75X8.75","",1900-05-03
374956,"Boiled Potatoes",23413,"",20572,23413,DINNER,"SS CITY OF RIO DE JANEIRO",FOLDER;5.5X8.75;,"HANDWRITTEN ON PRINTED FORM;MECHANICALLY REPRODUCED;2 COPIES;",1900-05-13
374956,"Boiled Potatoes",23543,"",20631,23543,BREAKFAST,"EN ROUTE","BROADSIDE; ILLUS BORDER; COL; 5.25 X 7.75;","HANDWRITTEN MENU;",1900-11-23
374956,"Boiled Potatoes",23547,"",20633,23547,DINNER,"EN ROUTE","BROADSHEET; ILLUS, JAPANESE COUNTRY; COL; 10.5 X 9.5;","MENU HANDWRITTEN; MAP ON BACK SHOWING ROUTE;",1900-11-23
374956,"Boiled Potatoes",23683,"",20692,23683,DINNER,"SS CITY OF PARA","FOLDER; 5.75X8.75","2 COPIES;",1900-05-04
374956,"Boiled Potatoes",23861,"",20774,23861,TIFFIN,"EN ROUTE ABOARD SS. KASUGA","BROADSIDE; 5.5 X 7.75;","HANDWRITTEN; RED BORDER;",1900-10-25
374956,"Boiled Potatoes",2407,"",13246,2407,LUNCHEON,"CHICAGO, IL","CARD; ILLUS; COL; 5X8.5;","TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU;",1900-07-10
374956,"Boiled Potatoes",24177,"",20919,24177,TIFFIN,"EN ROUTE",BROADSHEET;5.5X7.75;,"HANDWRITTEN;NO DATE;NO SHIP NAME;",1900-01-01
374956,"Boiled Potatoes",25918,"",21410,25918,DINNER,"NARRAGANSETT PIER R.I.",CARD;ILL;COL;5X8;,"PSEUDO-CREST ON UPPER LEFT;",1899-08-24
374956,"Boiled Potatoes",2653,"",13328,2653,"CHRISTMAS DINNER",S.S.CHINA,FOLDER;ILLUS;COL;6.25X8;,"SHIP AT SEA;HOLLY AND BERRIES;FLAG;",1900-12-25
374956,"Boiled Potatoes",28541,"",22125,28541,"QUEEN VICTORIA'S BIRTHDAY","TAMPA FL?","CARD; ILLUS; 5.25 X 8;","AMERICAN AND BRITISH FLAGS; QUOTE BLOOD IS THICKER THAN WATER;",1898-05-24
374956,"Boiled Potatoes",29153,"",22280,29153,DINNER,PHILADELPHIA,"FOLDER; ILLUS; 9.5 X 6;","DRAWING OF HOTEL; PRICED WINE LIST; OPERA THEATRE TICKETS AVAILABLE;",1882-05-02
374956,"Boiled Potatoes",2917,0.2,13414,2917,LUNCHEON,?,"BROADSIDE; COL; 5.25 X 9;","ALL PRICES INCLUDED;",1900-08-02
374956,"Boiled Potatoes",29402,"",22333,29402,DINNER,"NASSAU, BAHAMAS","CARD; COL; 5 X 9;","LOGO; BLUE STOCK;",1901-01-28
374956,"Boiled Potatoes",29481,"",22360,29481,"BREAKFAST MENU","[NEW YORK,NY]",BROADSIDE,"INCLUDES BREAKFAST WINES",1859-07-01
374956,"Boiled Potatoes",29906,"",22489,29906,DINNER,"",CARD;ILL;COL;3.25X5;,"",1899-07-02
374956,"Boiled Potatoes",301,"",12515,301,LUNCH,"DENVER, COLO;","CARD;3.5 X 5;","",1888-10-15
374956,"Boiled Potatoes",30200,"",22576,30200,DINNNER,"NASSAU, N.P. BAHAMAS","CARD; 5X9;","",1901-01-24
374956,"Boiled Potatoes",30242,"",22592,30242,"DAILY DINNER MENU","FRANCONIA MTS,NEW HAMPSHIRE","ILLUS. FOLDER","INCLUDES WINE LIST",1866-07-31
374956,"Boiled Potatoes",30394,"",22629,30394,"DINNER MENU","WOODSTOCK, VT","BROADSHEET; 5X6.5;","",1894-08-30
374956,"Boiled Potatoes",31547,"",22952,31547,DINNER,"NASSAU, THE BAHAMAS","CARD; 5 X 9;",LOGO;,1901-01-28
374956,"Boiled Potatoes",31835,"",23027,31835,"THANKSGIVING DINNER","","FOLDER; ILLUS; 4.75 X 6.0;","ILLUS. TURKEY, EMBOSSED; SCROLL; TABLE D'HOTE PRICED MENU;",1899-11-30
374956,"Boiled Potatoes",32242,"",23125,32242,"DAILY MENU","BOSTON,MA.",ILLUS.;FOLDER,"INCLUDES WINE LIST",1858-01-04
