"","Dish_id","Dish_name","menu_page_id","price","Menu_id","Menupage_id","event","place","physical_description","notes","date","states"
"1",374956,"Boiled potatoes",10156,NA,15787,10156,"","","","","1900-07-04T00:00:00Z",""
"2",374956,"Boiled potatoes",10183,NA,15799,10183,"","","","","1900-07-06T00:00:00Z",""
"3",374956,"Boiled potatoes",1067,NA,12758,1067,"DINNER","PANAMA LINE,CITY OF PARA","FOLDER;5.5X8.5;","","1900-04-23T00:00:00Z","AR"
"4",374956,"Boiled potatoes",1193,NA,12805,1193,"TABLE D'HOTE DINNER","NY","CARD; 5.5X7.0;","INITIALS ""ULC"" IN PALE BLUE;","1900-04-07T00:00:00Z","NY"
"5",374956,"Boiled potatoes",14003,NA,17143,14003,"DINNER","EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA","FOLDER; 6 X 9;","MENU TYPED IN ENGLISH BUT VARIOUS COURSES LISTED IN ENGLISH AND SPANISH; ORNAMENTAL BORDER;","1900-04-21T00:00:00Z","AR"
"6",374956,"Boiled potatoes",1703,NA,13007,1703,"DINNER","","FOLDER; 5.5X8.5;","","1900-05-03T00:00:00Z",""
"7",374956,"Boiled potatoes",17123,NA,18212,17123,"","","","","1900-07-04T00:00:00Z",""
"8",374956,"Boiled potatoes",20287,NA,19227,20287,"","","","","1901-06-04T00:00:00Z",""
"9",374956,"Boiled potatoes",21734,NA,19839,21734,"DINNER","","FOLDER;6X9;","TYPEWRITTEN ON FORM;2 COPIES;","1900-04-29T00:00:00Z",""
"10",374956,"Boiled potatoes",21738,NA,19840,21738,"DINNER","","FOLDER;6X9;","TYPEWRITTEN ON FORM;2 COPIES;","1900-04-30T00:00:00Z",""
"11",374956,"Boiled potatoes",21922,NA,19922,21922,"DINNER","","BROADSIDE; EMBLEM; 5.5 X 7;","SECOND CABIN MENU;","1901-05-29T00:00:00Z",""
"12",374956,"Boiled potatoes",22075,NA,19982,22075,"BREAKFAST","EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA","BROADSIDE; 6 X 9;","ORNAMENTAL BORDER;","1900-04-22T00:00:00Z","AR"
"13",374956,"Boiled potatoes",22143,NA,20014,22143,"DINNER","SS RIO DE JANEIRO","FOLDER; ILLUS; 5.75X8.75;","ILLUS, STEAMSHIP IN RED WITHIN DECORATIVE BORDER; TWO COPIES;","1900-06-12T00:00:00Z","DE"
"14",374956,"Boiled potatoes",22683,NA,20256,22683,"BREAKFAST","SS FURST BISMARCK","FOLDER;4.25X6.25","MENU IN GERMAN AND ENGLISH","1901-06-27T00:00:00Z","AR"
"15",374956,"Boiled potatoes",22747,NA,20284,22747,"LUNCH","","BROADSIDE;ILL;5.5X8.5;","FLAG;HANDWRITTEN ON PRINTED FORM;MECHANICALLY REPRODUCED;2 COPIES;COPY 1 HAS SOME MISSPELLINGS;","1900-03-17T00:00:00Z",""
"16",374956,"Boiled potatoes",23037,NA,20410,23037,"BREAKFAST","EN ROUTE ABOARD CITY OF PARA","BROADSIDE; 5.5 X 8.5;","ORNAMENTAL BORDER;","1900-05-08T00:00:00Z","AR"
"17",374956,"Boiled potatoes",23039,NA,20411,23039,"DINNER","EN ROUTE ABOARD CITY OF PARA","FOLDER; 6 X 9.25;","DISHES IN ENGLISH, COURSE NAMES IN ENGLISH AND SPANISH; ORNAMENTAL BORDER;","1900-05-08T00:00:00Z","AR"
"18",374956,"Boiled potatoes",23057,NA,20418,23057,"DINNER","","FOLDER;5.5X8.75;","HANDWRITTEN ON PRINTED FORM;MECHANICALLY REPRODUCED;2 COPIES;","1900-05-12T00:00:00Z",""
"19",374956,"Boiled potatoes",23391,NA,20563,23391,"BREAKFAST","","BROADSIDE; 5.75X8.75","","1900-05-03T00:00:00Z",""
