"","Var1","Freq","log"
"2","AK",30,1.47712125471966
"3","AL",54,1.73239375982297
"4","AR",306,2.48572142648158
"5","CA",68,1.83250891270624
"6","CO",24,1.38021124171161
"7","DC",16,1.20411998265592
"8","DE",54,1.73239375982297
"9","FL",146,2.16435285578444
"10","GA",8,0.903089986991944
"11","HI",30,1.47712125471966
"12","IA",10,1
"13","IL",60,1.77815125038364
"14","IN",26,1.41497334797082
"15","KS",2,0.301029995663981
"16","LA",40,1.60205999132796
"17","MA",72,1.85733249643127
"18","ME",20,1.30102999566398
"19","MI",4,0.602059991327962
"20","MO",2,0.301029995663981
"21","MS",12,1.07918124604762
"22","NC",8,0.903089986991944
"23","ND",6,0.778151250383644
"24","NE",20,1.30102999566398
"25","NH",12,1.07918124604762
"26","NJ",2,0.301029995663981
"27","NY",396,2.59769518592551
"28","OH",8,0.903089986991944
"29","OK",2,0.301029995663981
"30","OR",6,0.778151250383644
"31","PA",12,1.07918124604762
"32","RI",12,1.07918124604762
"33","TE",4,0.602059991327962
"34","UT",2,0.301029995663981
"35","VA",16,1.20411998265592
"36","VT",6,0.778151250383644
"37","WA",18,1.25527250510331
