"","Dish_id","Dish_name","menu_page_id","price","Menu_id","Menupage_id","event","place","physical_description","notes","date","states"
"1",83,"Mashed potatoes",10001,NA,15728,10001,"","","","","1901-05-10T00:00:00Z",""
"2",83,"Mashed potatoes",10003,NA,15729,10003,"","","","","1901-05-25T00:00:00Z",""
"3",83,"Mashed potatoes",10008,NA,15732,10008,"","","","","1901-05-25T00:00:00Z",""
"4",83,"Mashed potatoes",10014,NA,15734,10014,"","","","","1900-11-29T00:00:00Z",""
"5",83,"Mashed potatoes",10036,NA,15741,10036,"","","","","1900-12-05T00:00:00Z",""
"6",83,"Mashed potatoes",10096,NA,15762,10096,"","","","","1901-04-27T00:00:00Z",""
"7",83,"Mashed potatoes",10098,0.1,15763,10098,"","","","","1901-04-27T00:00:00Z",""
"8",83,"Mashed potatoes",10134,NA,15777,10134,"","","","","1901-05-11T00:00:00Z",""
"9",83,"Mashed potatoes",10152,NA,15785,10152,"","","","","1901-05-01T00:00:00Z",""
"10",83,"Mashed potatoes",10158,NA,15788,10158,"","","","","1900-07-04T00:00:00Z",""
"11",83,"Mashed potatoes",10169,NA,15792,10169,"","","","","1900-07-04T00:00:00Z",""
"12",83,"Mashed potatoes",10183,NA,15799,10183,"","","","","1900-07-06T00:00:00Z",""
"13",83,"Mashed potatoes",10187,NA,15800,10187,"","","","","1900-07-07T00:00:00Z",""
"14",83,"Mashed potatoes",10206,0.15,15805,10206,"","","","","1900-07-01T00:00:00Z",""
"15",83,"Mashed potatoes",10243,NA,15819,10243,"","","","","1900-08-16T00:00:00Z",""
"16",83,"Mashed potatoes",10248,NA,15821,10248,"","","","","1900-08-17T00:00:00Z",""
"17",83,"Mashed potatoes",10270,NA,15829,10270,"","","","","1901-06-16T00:00:00Z",""
"18",83,"Mashed potatoes",10304,0.1,15841,10304,"","","","","1900-06-01T00:00:00Z",""
"19",83,"Mashed potatoes",10306,NA,15842,10306,"","","","","1900-06-01T00:00:00Z",""
"20",83,"Mashed potatoes",10312,NA,15844,10312,"","","","","1900-06-01T00:00:00Z",""
"21",83,"Mashed potatoes",10316,NA,15846,10316,"","","","","1900-06-04T00:00:00Z",""
"22",83,"Mashed potatoes",10332,NA,15850,10332,"","","","","1900-06-06T00:00:00Z",""
"23",83,"Mashed potatoes",10340,NA,15852,10340,"","","","","1900-07-08T00:00:00Z",""
"24",83,"Mashed potatoes",10344,NA,15853,10344,"","","","","1900-07-08T00:00:00Z",""
"25",83,"Mashed potatoes",10348,NA,15854,10348,"","","","","1900-07-08T00:00:00Z",""
"26",83,"Mashed potatoes",10376,NA,15859,10376,"","","","","1900-07-09T00:00:00Z",""
"27",83,"Mashed potatoes",10378,0.1,15860,10378,"","","","","1900-07-09T00:00:00Z",""
"28",83,"Mashed potatoes",10382,NA,15861,10382,"","","","","1900-07-09T00:00:00Z",""
"29",83,"Mashed potatoes",10423,NA,15874,10423,"","","","","1900-10-11T00:00:00Z",""
"30",83,"Mashed potatoes",1067,NA,12758,1067,"DINNER","PANAMA LINE,CITY OF PARA","FOLDER;5.5X8.5;","","1900-04-23T00:00:00Z","AR"
"31",83,"Mashed potatoes",10914,NA,16029,10914,"","","","","1901-07-10T00:00:00Z",""
"32",83,"Mashed potatoes",1099,NA,12771,1099,"BREAKFAST","EN RPUTE ABOARD R.M.S. CAMPANIA","CARD; 4.25 X 6.5;","WINE LIST ON BACK PRICED IN BRITISH CURRENCY;","1900-02-27T00:00:00Z","AR"
"33",83,"Mashed potatoes",1101,NA,12772,1101,"LUNCH","","BROADSIDE; ILLUS; 5.5X8.5;","HANDWRITTEN IN LAVENDAR INK; COMPANY FLAG AT TOP OF MENU;","1900-03-13T00:00:00Z",""
"34",83,"Mashed potatoes",1103,NA,12773,1103,"DINNER","","FOLDER; ILLUS; 5.5X8.5;","ITEMS OF THE DAY HANDWRITTEN IN LAVENDAR INK ON PRINTED FORM; DECORATIVE BORDER & ANCHOR, FLAGS, ETC. ON COVER;","1900-03-13T00:00:00Z",""
"35",83,"Mashed potatoes",11152,NA,16092,11152,"","","","","1901-08-08T00:00:00Z",""
"36",83,"Mashed potatoes",1117,NA,12778,1117,"DINNER","","CARD; 4.25X6.75; ILLUS; COL;","ILLUS, RED FLAG WITH BRITISH LION HOLDING GLOBE OF THE WORLD; PRICED WINE LIST;","1900-02-12T00:00:00Z",""
"37",83,"Mashed potatoes",11194,NA,16109,11194,"","","","","1906-12-31T00:00:00Z",""
"38",83,"Mashed potatoes",11196,0.1,16110,11196,"","","","","1906-12-31T00:00:00Z",""
"39",83,"Mashed potatoes",11246,0.1,16125,11246,"","","","","1901-07-04T00:00:00Z",""
"40",83,"Mashed potatoes",1127,0.15,12782,1127,"DINNER MENU","NY","FOLDER; ILLUS; COL; 6.25X8.75;","A LA CARTE DU JOUR DINNER MENU; INCLUDES EXTENSIVE PRICED WINE LIST; HOTEL MONOGRAM ON COVER;","1900-01-12T00:00:00Z","NY"
"41",83,"Mashed potatoes",11278,NA,16136,11278,"","","","","1901-07-20T00:00:00Z",""
"42",83,"Mashed potatoes",11344,NA,16166,11344,"","","","","1901-07-21T00:00:00Z",""
"43",83,"Mashed potatoes",11370,NA,16177,11370,"","","","","1901-07-21T00:00:00Z",""
"44",83,"Mashed potatoes",11393,0.2,16187,11393,"","","","","1901-01-01T00:00:00Z",""
"45",83,"Mashed potatoes",11535,NA,16225,11535,"","","","","1901-09-13T00:00:00Z",""
"46",83,"Mashed potatoes",11547,NA,16228,11547,"","","","","1901-09-14T00:00:00Z",""
"47",83,"Mashed potatoes",11555,NA,16231,11555,"","","","","1901-09-16T00:00:00Z",""
