"","Var1","Freq","log"
"2","AK",12,1.07918124604762
"3","AL",108,2.03342375548695
"4","AR",294,2.46834733041216
"5","AZ",2,0.301029995663981
"6","CA",88,1.94448267215017
"7","CO",66,1.81954393554187
"8","CP",2,0.301029995663981
"9","CT",10,1
"10","DC",22,1.34242268082221
"11","DE",52,1.7160033436348
"12","FL",422,2.62531245096167
"13","GA",12,1.07918124604762
"14","HI",28,1.44715803134222
"15","IA",4,0.602059991327962
"16","ID",2,0.301029995663981
"17","IL",74,1.86923171973098
"18","IN",60,1.77815125038364
"19","KS",2,0.301029995663981
"20","LA",38,1.57978359661681
"21","MA",84,1.92427928606188
"22","ME",30,1.47712125471966
"23","MI",2,0.301029995663981
"24","MO",8,0.903089986991944
"25","MS",2,0.301029995663981
"26","MT",8,0.903089986991944
"27","NC",16,1.20411998265592
"28","ND",8,0.903089986991944
"29","NE",16,1.20411998265592
"30","NH",10,1
"31","NJ",36,1.55630250076729
"32","NM",2,0.301029995663981
"33","NY",510,2.70757017609794
"34","OH",46,1.66275783168157
"35","OK",2,0.301029995663981
"36","OR",12,1.07918124604762
"37","PA",32,1.50514997831991
"38","RI",36,1.55630250076729
"39","TX",2,0.301029995663981
"40","VA",40,1.60205999132796
"41","VT",4,0.602059991327962
"42","WA",32,1.50514997831991
"43","WI",12,1.07918124604762
