@relation 'bmtrain-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1'

@attribute bm.price numeric
@attribute bm.event1 {DINNER,LUNCH,DAILY,BREAKFAST}
@attribute bm.physical_description1 {OTHER,FOLDER,BROADSHEET,CARD,BOOKLET}
@attribute bm.states {CA,NY,AR,ND,AL,IA,IL,LA,IN,MO,MA,NE,WA,NJ,RI,CO,OH,PA,HI,CP}
@attribute bm.Dish_name {'Boiled potatoes','Mashed potatoes'}

@data
0.15,DINNER,OTHER,CA,'Boiled potatoes'
0.15,DINNER,OTHER,CA,'Boiled potatoes'
0.15,DINNER,FOLDER,NY,'Boiled potatoes'
0.2,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.1,DAILY,CARD,NY,'Boiled potatoes'
0.2,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.15,LUNCH,CARD,AR,'Boiled potatoes'
0.1,DAILY,CARD,NY,'Boiled potatoes'
0.2,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.1,DAILY,FOLDER,NY,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.2,LUNCH,CARD,ND,'Boiled potatoes'
0.05,LUNCH,CARD,NY,'Boiled potatoes'
0.1,DINNER,FOLDER,AL,'Boiled potatoes'
0.1,LUNCH,CARD,AL,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.1,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.2,LUNCH,BROADSHEET,NY,'Boiled potatoes'
10,LUNCH,CARD,AR,'Boiled potatoes'
0.2,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.15,LUNCH,CARD,NY,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.1,LUNCH,CARD,AR,'Boiled potatoes'
0.15,LUNCH,CARD,AR,'Boiled potatoes'
0.1,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.1,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.1,LUNCH,CARD,NY,'Boiled potatoes'
0.2,LUNCH,CARD,NY,'Boiled potatoes'
0.1,DAILY,FOLDER,NY,'Boiled potatoes'
0.15,LUNCH,BROADSHEET,NY,'Boiled potatoes'
0.1,DAILY,BROADSHEET,NY,'Boiled potatoes'
0.1,DINNER,FOLDER,IA,'Boiled potatoes'
0.2,DINNER,BROADSHEET,NY,'Boiled potatoes'
